id,precip_mm,precip_in,is_it_safe_to_go_out
1038,0.2,0.01,t
1039,0,0,t
1040,0.6,0.02,f
1041,0,0,t
1042,0.5,0.02,f
1043,1.1,0.04,f
1044,0.1,0,t
1045,0,0,t
1046,0,0,t
1047,0,0,t
1048,0,0,t
1049,0,0,t
1050,0,0,t
1051,0.2,0.01,t
1052,0,0,t
1053,0,0,t
1054,0,0,t
1055,0,0,t
1056,0,0,t
1057,0,0,t
1058,0,0,t
1059,0,0,t
1060,0,0,t
1061,0,0,t
1062,0.1,0,t
1063,0,0,t
1064,0.1,0,t
1065,0,0,t
1066,0,0,t
1067,0,0,t
1068,0,0,t
1069,0,0,t
1070,0,0,t
1071,0.6,0.02,f
1072,0,0,t
1073,0,0,t
1074,0,0,t
1075,0,0,t
1076,0,0,t
1077,0,0,t
1078,0.3,0.01,t
1079,0.2,0.01,t
1080,3.2,0.13,f
1081,0,0,t
1082,0.4,0.02,t
1083,0,0,t
1084,0,0,t
1085,0,0,t
1086,0,0,t
1087,0,0,t
1088,0,0,t
1089,0,0,t
1090,0,0,t
1091,0.4,0.02,t
1092,0,0,t
1093,0,0,t
1094,0,0,t
1095,0,0,t
1096,0,0,t
1097,0,0,t
1098,0,0,t
1099,0.1,0,t
1100,0,0,t
1101,0,0,t
1102,0,0,t
1103,0,0,t
1104,0,0,t
1105,0,0,t
1106,0,0,t
1107,0,0,t
1108,0,0,t
1109,1.4,0.06,f
1110,0,0,t
1111,0,0,t
1112,0,0,t
1113,1,0.04,f
1114,0,0,t
1115,0,0,t
1116,0,0,t
1117,0,0,t
1118,0,0,t
1119,0,0,t
1120,0.2,0.01,t
1121,0.1,0,t
1122,0.1,0,t
1123,0.1,0,t
1124,0,0,t
1125,0,0,t
1126,0,0,t
1127,0,0,t
1128,0,0,t
1129,0.5,0.02,f
1130,0.2,0.01,t
1131,0,0,t
1132,0.6,0.02,f
1133,0,0,t
1134,0,0,t
1135,0,0,t
1136,0,0,t
1137,0,0,t
1138,0,0,t
1139,2.3,0.09,f
1140,0,0,t
1141,0,0,t
1142,0,0,t
1143,0,0,t
1144,0,0,t
1145,0,0,t
1146,0,0,t
1147,0,0,t
1148,0.2,0.01,t
1149,0,0,t
1150,0,0,t
1151,0,0,t
1152,0,0,t
1153,0,0,t
1154,1.6,0.06,f
1155,0,0,t
1156,0.2,0.01,t
1157,0,0,t
1158,0,0,t
1159,0,0,t
1160,0,0,t
1161,0,0,t
1162,0,0,t
1163,0,0,t
1164,0.2,0.01,t
1165,0.6,0.02,f
1166,0.1,0,t
1167,0,0,t
1168,0,0,t
1169,0,0,t
1170,0.1,0,t
1171,0,0,t
1172,0,0,t
1173,0,0,t
1174,0,0,t
1175,0,0,t
1176,0.2,0.01,t
1177,0,0,t
1178,0,0,t
1179,0,0,t
1180,0,0,t
1181,0,0,t
1182,0,0,t
1183,0.2,0.01,t
1184,0,0,t
1185,0,0,t
1186,0,0,t
1187,0,0,t
1188,0,0,t
1189,0,0,t
1190,0,0,t
1191,2.8,0.11,f
1192,0,0,t
1193,0,0,t
1194,0,0,t
1195,0,0,t
1196,0.1,0,t
1197,0,0,t
1198,0,0,t
1199,0,0,t
1200,0.1,0,t
1201,8.6,0.34,f
1202,0,0,t
1203,1.4,0.06,f
1204,0,0,t
1205,0.2,0.01,t
1206,0,0,t
1207,3.5,0.14,f
1208,0,0,t
1209,0,0,t
1210,0.3,0.01,t
1211,0,0,t
1212,0,0,t
1213,0,0,t
1214,0,0,t
1215,0,0,t
1216,0,0,t
1217,0,0,t
1218,0,0,t
1219,0,0,t
1220,1.9,0.07,f
1221,0,0,t
1222,0.3,0.01,t
1223,1.4,0.06,f
1224,0,0,t
1225,0,0,t
1226,0,0,t
1227,0,0,t
1228,0,0,t
1229,0,0,t
1230,0,0,t
1231,0,0,t
1232,0,0,t
1233,0.2,0.01,t
1234,0,0,t
1235,0,0,t
1236,0,0,t
1237,0,0,t
1238,0.9,0.04,f
1239,1.9,0.07,f
1240,0,0,t
1241,0,0,t
1242,0,0,t
1243,0,0,t
1244,0.3,0.01,t
1245,0,0,t
1246,0.4,0.02,t
1247,0,0,t
1248,0,0,t
1249,0,0,t
1250,0,0,t
1251,0,0,t
1252,0,0,t
1253,0,0,t
1254,0,0,t
1255,0.9,0.04,f
1256,0,0,t
1257,0.1,0,t
1258,0,0,t
